City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
0,Busselton,AU,-33.65,115.33,43.0,84,2,8.19,clear sky,0.0,0
1,Hermanus,ZA,-34.42,19.23,54.0,87,100,4.0,moderate rain,3.09,0
2,Punta Arenas,CL,-53.15,-70.92,35.6,74,75,23.04,broken clouds,0.0,0
3,Mar Del Plata,AR,-38.0,-57.56,50.0,53,1,11.41,clear sky,0.0,0
4,Beringovskiy,RU,63.05,179.32,53.67,74,96,2.71,overcast clouds,0.0,0
5,Havelock,US,34.88,-76.9,84.0,88,90,14.99,light rain,0.25,0
6,Vaini,TO,-21.2,-175.2,71.6,88,75,5.82,broken clouds,0.0,0
7,Ribeira Grande,PT,38.52,-28.7,73.4,56,75,4.7,broken clouds,0.0,0
8,Southbridge,US,42.08,-72.03,87.01,61,27,5.48,light rain,0.19,0
9,Kieta,PG,-6.22,155.63,80.04,79,100,8.16,moderate rain,1.21,0
10,Isangel,VU,-19.55,169.27,69.31,77,97,17.4,overcast clouds,0.0,0
11,Port Alfred,ZA,-33.59,26.89,71.01,52,76,5.01,broken clouds,0.0,0
12,Tateyama,JP,34.98,139.87,73.99,96,100,3.0,overcast clouds,0.0,0
13,Dalbandin,PK,28.89,64.41,91.81,10,39,13.38,scattered clouds,0.0,0
14,Victoria,HK,22.29,114.16,86.0,74,100,11.99,overcast clouds,0.0,0
15,Beira,MZ,-19.84,34.84,71.6,78,1,5.82,clear sky,0.0,0
16,Saint-Philippe,RE,-21.36,55.77,69.8,83,75,20.8,broken clouds,0.0,0
17,Rikitea,PF,-23.12,-134.97,68.2,63,14,16.51,few clouds,0.0,0
18,Henties Bay,NA,-22.12,14.28,57.0,83,1,1.99,clear sky,0.0,0
19,Paamiut,GL,61.99,-49.67,45.68,87,93,28.92,overcast clouds,0.0,0
20,Katsuura,JP,35.13,140.3,75.0,96,100,3.0,overcast clouds,0.0,0
21,Clyde River,CA,70.47,-68.59,51.8,66,75,13.87,light intensity shower rain,0.0,0
22,Voskresenskoye,RU,56.84,45.43,66.4,96,98,8.59,moderate rain,1.87,0
23,Haines Junction,CA,60.75,-137.51,58.95,52,82,1.12,broken clouds,0.0,0
24,Linguere,SN,15.4,-15.12,98.67,31,45,5.79,scattered clouds,0.0,0
25,Anzhero-Sudzhensk,RU,56.08,86.03,64.4,68,100,3.78,overcast clouds,0.0,0
26,Bredasdorp,ZA,-34.53,20.04,55.4,87,100,6.93,light rain,0.3,0
27,Barrow,US,71.29,-156.79,37.4,86,40,9.17,scattered clouds,0.0,0
28,Kodiak,US,57.79,-152.41,57.2,67,90,10.29,overcast clouds,0.0,0
29,Bambous Virieux,MU,-20.34,57.76,71.6,60,20,16.11,few clouds,0.0,0
30,Jamestown,US,42.1,-79.24,84.2,62,1,4.7,clear sky,0.0,0
31,Mataura,NZ,-46.19,168.86,41.74,92,94,5.35,overcast clouds,0.0,0
32,Santa Fe,AR,-31.63,-60.7,61.0,50,3,5.01,clear sky,0.0,0
