City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Victoria,HK,86.0,overcast clouds,22.29,114.16,Mini Hotel Central
20,Katsuura,JP,75.0,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
30,Jamestown,US,84.2,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
37,Timmins,CA,84.2,broken clouds,48.47,-81.33,The Senator Hotel & Conference Centre
41,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
42,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
44,East London,ZA,77.94,overcast clouds,-33.02,27.91,Tu Casa
51,Maumere,ID,75.83,broken clouds,-8.62,122.21,Sylvia Hotel
57,Ponta Do Sol,PT,75.2,few clouds,32.67,-17.1,Hotel do Campo
60,Kudahuvadhoo,MV,84.22,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
63,Savannah Bight,HN,82.96,few clouds,16.45,-85.85,Villa on Dunbar Rock
64,Kavieng,PG,82.42,few clouds,-2.57,150.8,Nusa Island Retreat
71,Thinadhoo,MV,85.01,overcast clouds,0.53,72.93,
72,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
76,Great Bend,US,84.0,clear sky,38.36,-98.76,Best Western Angus Inn
80,Wahiawa,US,77.0,overcast clouds,21.5,-158.02,Aloha Wahiawa
81,Puerto Narino,CO,87.8,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
82,Saint Anthony,US,75.0,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
85,Albany,US,87.01,clear sky,42.6,-73.97,
90,Ugoofaaru,MV,83.79,overcast clouds,5.67,73.0,Ungoofaaru Inn
95,Hasaki,JP,75.2,shower rain,35.73,140.83,Inubosaki Kanko Hotel
98,Curvelo,BR,85.96,clear sky,-18.76,-44.43,Pontal Plaza Hotel
99,Chichihualco,MX,75.52,overcast clouds,17.68,-99.65,Hotel Casa Blanca
100,Atuona,PF,79.39,few clouds,-9.8,-139.03,Villa Enata
106,Hambantota,LK,80.83,broken clouds,6.12,81.12,Bungalow 63
108,Touros,BR,82.4,shower rain,-5.2,-35.46,INN NEW HORIZON
115,Ouidah,BJ,79.09,overcast clouds,6.36,2.09,Djegba Hotel
117,Bardiyah,LY,78.57,clear sky,31.76,25.09,بورتو بردية
118,Champerico,GT,89.6,overcast clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
119,Hami,CN,81.32,clear sky,42.8,93.45,Laoyutang Resort
125,Banda Aceh,ID,80.2,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
126,Avera,US,84.2,broken clouds,33.19,-82.53,
127,Pemba,MZ,76.96,clear sky,-12.97,40.52,Guesthouse Samotina
129,Marawi,PH,75.0,broken clouds,8.0,124.29,Derogongan Residence
134,Shawinigan,CA,84.2,clear sky,46.57,-72.75,Auberge Gouverneur Shawinigan
140,Kerchevskiy,RU,77.38,clear sky,59.95,56.29,
143,Usak,TR,75.99,scattered clouds,38.5,29.42,
146,Phayakkhaphum Phisai,TH,83.8,overcast clouds,15.52,103.19,โรงแรมบ้านนงนุชโฮเตล
148,Caravelas,BR,81.59,clear sky,-17.71,-39.25,Pousada dos Navegantes
160,Marsh Harbour,BS,86.23,overcast clouds,26.54,-77.06,Abaco Beach Resort
161,Anloga,GH,82.4,few clouds,5.79,0.9,Dey Lodge
166,Hanchuan,CN,82.4,overcast clouds,30.65,113.77,Xiaogan Hanchuan Blue Sea Blue Sky Hotel
170,Nishihara,JP,82.4,scattered clouds,26.18,127.76,Minshuku Agaihama
171,Kolaras,IN,86.47,scattered clouds,25.23,77.6,Shiv Shakti Garden (Gayatri Colony)
173,Colares,PT,77.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
176,Guerrero Negro,MX,76.03,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
177,Lata,PT,82.0,clear sky,40.16,-8.33,Casa Maquia
181,Ranong,TH,80.69,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
183,Umm Lajj,SA,84.7,clear sky,25.02,37.27,Moon light Furnished Units
184,San Patricio,MX,87.8,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
186,Orange Cove,US,87.01,clear sky,36.62,-119.31,
188,Mahibadhoo,MV,84.13,overcast clouds,3.78,72.97,Omadhoo Inn
189,Faanui,PF,76.17,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
190,Oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
194,Tartus,SY,82.4,broken clouds,34.89,35.89,Antaradus Hotel
195,Golden,US,84.0,few clouds,39.76,-105.22,"The Golden Hotel, Ascend Hotel Collection"
197,Tarragona,ES,86.0,few clouds,41.13,1.25,Hotel SB Ciutat de Tarragona
199,Segovia,ES,80.01,scattered clouds,41.17,-4.0,Complejo de turismo Rural A Toca
200,Kasongo-Lunda,CD,85.12,few clouds,-6.47,16.82,
201,Vallenar,CL,80.33,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
203,Bereda,ES,75.99,clear sky,43.27,-7.54,Pazo de Verdes
204,Fort-Shevchenko,KZ,84.7,broken clouds,44.51,50.26,Oasis hotel Bautino
208,Skofja Loka,SI,82.4,few clouds,46.17,14.31,Turizem Loka - sobe in apartmaji
210,Fukuma,JP,75.2,light rain,33.77,130.47,Masago
213,Malakal,SS,78.69,overcast clouds,9.53,31.66,Nile Palace Hotel
214,Nouadhibou,MR,87.8,clear sky,20.93,-17.03,El Medina
219,Dawei,MM,79.09,overcast clouds,14.08,98.2,Hotel Dawei
223,Zatoka,UA,77.0,clear sky,46.07,30.47,Solnechnaya
227,Sao Filipe,CV,76.86,clear sky,14.9,-24.5,Tortuga B&B
228,Bandarbeyla,SO,79.7,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
230,Westport,US,89.01,clear sky,41.14,-73.36,The Westport Inn
231,Almaznyy,RU,75.2,scattered clouds,48.04,40.05,
